name,area,category,rating,reviews,price_text,price_min,price_max,address,distance_m,hours,website,matched_osm,source_maps
Mozza by Cocotte - EmQuartier,พร้อมพงษ์,ร้านอาหารอิตาเลียน,4.4,1981,"฿400-1,600",400,1600,693 ถ. สุขุมวิท Klongton Klongtoey กรุงเทพมหานคร 10110 ไทย,137,วันอังคาร 8:00 to 22:00 · วันพุธ 8:00 to 22:00 · วันพฤหัสบดี 8:00 to 22:00 · วันศุกร์ 8:00 to 23:00 · วันเสาร์ 8:00 to 23:00 · วันอาทิตย์ 8:00 to 22:00 · วันจันทร์ 8:00 to 22:00,https://mozza-bangkok.com/,False,https://www.google.com/maps/search/?api=1&query=Mozza%20by%20Cocotte%20-%20EmQuartier&query_place_id=ChIJa65k8wGf4jARN4hQk0SoakI
Sit and Wonder,พร้อมพงษ์,ภัตตาคารอาหารไทย,4.5,1969,฿200-400,200,400,119 ซอย สุขุมวิท 57 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย,1264,วันอังคาร 11:00 to 22:30 · วันพุธ 11:00 to 22:30 · วันพฤหัสบดี 11:00 to 22:30 · วันศุกร์ 11:00 to 22:30 · วันเสาร์ 11:00 to 22:30 · วันอาทิตย์ 11:00 to 22:30 · วันจันทร์ 11:00 to 22:30,https://www.sitandwonderbkk.com/,False,https://www.google.com/maps/search/?api=1&query=Sit%20and%20Wonder&query_place_id=ChIJK2vw16if4jARNY3pRc4cfFw
Have a Zeed - Terminal 21 Asoke,อโศก,ภัตตาคารอาหารไทย,4.1,1964,"฿200-1,000",200,1000,"4th floor ,88 แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย",112,วันอังคาร 10:00 to 22:00 · วันพุธ 10:00 to 22:00 · วันพฤหัสบดี 10:00 to 22:00 · วันศุกร์ 10:00 to 22:00 · วันเสาร์ 10:00 to 22:00 · วันอาทิตย์ 10:00 to 22:00 · วันจันทร์ 10:00 to 22:00,http://www.facebook.com/haveazeed,False,https://www.google.com/maps/search/?api=1&query=Have%20a%20Zeed%20-%20Terminal%2021%20Asoke&query_place_id=ChIJ9eldoOOe4jARMJiqUgk_9HA
Tonkotsu Kazan Ramen (Siam Center),สยาม,ภัตตาคารอาหารญี่ปุ่น,4.8,1902,฿200-400,200,400,979 Siam Center ชั้นที่ 2 ถ. พระรามที่ 1 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330 ไทย,149,วันอังคาร 10:00 to 21:00 · วันพุธ 10:00 to 21:00 · วันพฤหัสบดี 10:00 to 21:00 · วันศุกร์ 10:00 to 21:00 · วันเสาร์ 10:00 to 21:00 · วันอาทิตย์ 10:00 to 21:00 · วันจันทร์ 10:00 to 21:00,http://www.facebook.com/kazanramenthai,True,https://www.google.com/maps/search/?api=1&query=Tonkotsu%20Kazan%20Ramen%20(Siam%20Center)&query_place_id=ChIJAz46NDyf4jARAQh-S7JzF20
อองตองข้าวซอย สาขา อารีย์,อารีย์,ภัตตาคารอาหารไทย,4.3,1857,฿200-400,200,400,31 พหลโยธิน ซอย 7 แขวงพญาไท เขตพญาไท กรุงเทพมหานคร 10400 ไทย,160,วันอังคาร 9:00 to 20:30 · วันพุธ 9:00 to 20:30 · วันพฤหัสบดี 9:00 to 20:30 · วันศุกร์ 9:00 to 20:30 · วันเสาร์ 9:00 to 20:30 · วันอาทิตย์ 9:00 to 20:30 · วันจันทร์ 9:00 to 20:30,,True,https://www.google.com/maps/search/?api=1&query=%E0%B8%AD%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B8%AD%E0%B8%87%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%8B%E0%B8%AD%E0%B8%A2%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%20%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C&query_place_id=ChIJT2m3lx2c4jARfziuf8CSZBY
Brooks brunch & bar Ari,อารีย์,ร้านอาหาร,4.8,1771,"฿400-1,000",400,1000,18 ซอย อารีย์ 4 ฝั่งเหนือ แขวงพญาไท เขตพญาไท กรุงเทพมหานคร 10400 ไทย,438,วันอังคาร 8:30 to 0:00 · วันพุธ 8:30 to 0:00 · วันพฤหัสบดี 8:30 to 0:00 · วันศุกร์ 8:30 to 0:00 · วันเสาร์ 8:30 to 0:00 · วันอาทิตย์ 8:30 to 0:00 · วันจันทร์ 8:30 to 0:00,https://linktr.ee/brooks.brunchandbar,False,https://www.google.com/maps/search/?api=1&query=Brooks%20brunch%20%26%20bar%20Ari&query_place_id=ChIJh4PTdWyd4jARLZPuo5nt_q4
"Supanniga Eating Room, Thonglor : ห้องทานข้าวสุพรรณิการ์ ทองหล่อ",ทองหล่อ,ภัตตาคารอาหารไทย,4.4,1727,"฿400-1,600",400,1600,160/11 ถ. ทองหล่อ แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย,837,วันอังคาร 10:00 to 22:00 · วันพุธ 10:00 to 22:00 · วันพฤหัสบดี 10:00 to 22:00 · วันศุกร์ 10:00 to 22:00 · วันเสาร์ 10:00 to 22:00 · วันอาทิตย์ 10:00 to 22:00 · วันจันทร์ 10:00 to 22:00,http://www.supannigaeatingroom.com/,False,https://www.google.com/maps/search/?api=1&query=Supanniga%20Eating%20Room%2C%20Thonglor%20%3A%20%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%97%E0%B8%B2%E0%B8%99%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%AA%E0%B8%B8%E0%B8%9E%E0%B8%A3%E0%B8%A3%E0%B8%93%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%20%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B9%88%E0%B8%AD&query_place_id=ChIJYSgxk6yf4jAROxN8pCQzqJA
เคนชิน อิซากายะ สาขาอโศก,อโศก,ร้านอาหารอิซาคายะ,4.3,1693,฿400-600,400,600,155 ถนน อโศกมนตรี แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย,252,วันอังคาร 11:00 to 0:00 · วันพุธ 11:00 to 0:00 · วันพฤหัสบดี 11:00 to 0:00 · วันศุกร์ 11:00 to 0:00 · วันเสาร์ 11:00 to 0:00 · วันอาทิตย์ 11:00 to 0:00 · วันจันทร์ 11:00 to 0:00,https://www.facebook.com/KenshinIzakaya/,False,https://www.google.com/maps/search/?api=1&query=%E0%B9%80%E0%B8%84%E0%B8%99%E0%B8%8A%E0%B8%B4%E0%B8%99%20%E0%B8%AD%E0%B8%B4%E0%B8%8B%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A2%E0%B8%B0%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%AD%E0%B9%82%E0%B8%A8%E0%B8%81&query_place_id=ChIJRbk96-Se4jAR_aE0uywzTRM
Nara Thai Cuisine EmQuartier,พร้อมพงษ์,ภัตตาคารอาหารไทย,4.6,1682,"฿400-1,600",400,1600,621 ถ. สุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย,151,วันอังคาร 11:00 to 21:00 · วันพุธ 11:00 to 21:00 · วันพฤหัสบดี 11:00 to 21:00 · วันศุกร์ 11:00 to 21:00 · วันเสาร์ 11:00 to 21:00 · วันอาทิตย์ 11:00 to 21:00 · วันจันทร์ 11:00 to 21:00,http://www.naracuisine.com/,False,https://www.google.com/maps/search/?api=1&query=Nara%20Thai%20Cuisine%20EmQuartier&query_place_id=ChIJp5w5igGf4jARGrpgX2bEYZM
ปิง หูฉลาม อโศก,อโศก,ภัตตาคารอาหารจีน,4.6,1588,"฿1,000+",1000,,137/3 ซอย สุขุมวิท 21 North Klongtoey เขตวัฒนา กรุงเทพมหานคร 10110 ไทย,226,วันอังคาร 11:00 to 22:00 · วันพุธ 11:00 to 22:00 · วันพฤหัสบดี 11:00 to 22:00 · วันศุกร์ 11:00 to 22:00 · วันเสาร์ 11:00 to 22:00 · วันอาทิตย์ 11:00 to 22:00 · วันจันทร์ 11:00 to 22:00,http://pingsharksfin.com/,False,https://www.google.com/maps/search/?api=1&query=%E0%B8%9B%E0%B8%B4%E0%B8%87%20%E0%B8%AB%E0%B8%B9%E0%B8%89%E0%B8%A5%E0%B8%B2%E0%B8%A1%20%E0%B8%AD%E0%B9%82%E0%B8%A8%E0%B8%81&query_place_id=ChIJnfQQnAGf4jARkEY6N_nZR74
Lucky’s Hungry สาขา HAUS อารีย์,อารีย์,ร้านอาหารฟิวชั่น,4.7,1523,฿200-400,200,400,9 1 ซ. อารีย์ 3 แขวงพญาไท เขตพญาไท กรุงเทพมหานคร 10400 ไทย,257,"วันอังคาร 11:00 to 15:00, 17:00 to 22:00 · วันพุธ 11:00 to 15:00, 17:00 to 22:00 · วันพฤหัสบดี 11:00 to 15:00, 17:00 to 22:00 · วันศุกร์ 11:00 to 15:00, 17:00 to 22:00 · วันเสาร์ 11:00 to 22:00 · วันอาทิตย์ 11:00 to 22:00 · วันจันทร์ 11:00 to 15:00, 17:00 to 22:00",https://www.luckyshungry.com/,False,https://www.google.com/maps/search/?api=1&query=Lucky%E2%80%99s%20Hungry%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%20HAUS%20%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C&query_place_id=ChIJc6nvAmGd4jAREp6SCD85N_Q
Piranya@Siam (ปิรันย่า@สยาม),สยาม,ภัตตาคารอาหารไทย,4.8,1462,฿1-200,1,200,430/27 สยามสแควร์ ซอย 9 ถ. พระรามที่ 1 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330 ไทย,229,วันอังคาร 10:45 to 20:00 · วันพุธ 10:45 to 20:00 · วันพฤหัสบดี 10:45 to 20:00 · วันศุกร์ 10:45 to 20:00 · วันเสาร์ 10:45 to 20:00 · วันอาทิตย์ 10:45 to 19:30 · วันจันทร์ 10:45 to 20:00,https://www.facebook.com/piranyasiam,True,https://www.google.com/maps/search/?api=1&query=Piranya%40Siam%20(%E0%B8%9B%E0%B8%B4%E0%B8%A3%E0%B8%B1%E0%B8%99%E0%B8%A2%E0%B9%88%E0%B8%B2%40%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1)&query_place_id=ChIJgX7MQtKe4jARWUtEd9dE3zs
อีท แอม อา อาคาร 253 อโศก,อโศก,ร้านสเต็ก,4.5,1441,฿200-400,200,400,253 ชั้น G ซอย อโศก แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย,988,วันอังคาร 9:00 to 22:00 · วันพุธ 9:00 to 22:00 · วันพฤหัสบดี 9:00 to 22:00 · วันศุกร์ 9:00 to 23:00 · วันเสาร์ 9:00 to 23:00 · วันอาทิตย์ 9:00 to 23:00 · วันจันทร์ 9:00 to 22:00,,False,https://www.google.com/maps/search/?api=1&query=%E0%B8%AD%E0%B8%B5%E0%B8%97%20%E0%B9%81%E0%B8%AD%E0%B8%A1%20%E0%B8%AD%E0%B8%B2%20%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3%20253%20%E0%B8%AD%E0%B9%82%E0%B8%A8%E0%B8%81&query_place_id=ChIJtz6LEiOf4jARORWzcrLDLBc
BORNGA Siam Discovery,สยาม,ร้านอาหาร,4.8,1301,"฿400-1,200",400,1200,เลขที่ 989 อาคาร สยามดิสคัฟเวอรี่ ชั้นที่ 3 ห้องเลขที่ 310 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330 ไทย,301,วันอังคาร 10:00 to 22:00 · วันพุธ 10:00 to 22:00 · วันพฤหัสบดี 10:00 to 22:00 · วันศุกร์ 10:00 to 22:00 · วันเสาร์ 10:00 to 22:00 · วันอาทิตย์ 10:00 to 22:00 · วันจันทร์ 10:00 to 22:00,https://www.facebook.com/BorngaTH/,False,https://www.google.com/maps/search/?api=1&query=BORNGA%20Siam%20Discovery&query_place_id=ChIJc2-2cwCf4jARvP7wchxNwT8
키아니 한식당 통로 본점 Kiani Korean Restaurant Thonglor ร้านอาหารเกาหลี 韩国餐厅 Thonglor,ทองหล่อ,ภัตตาคารอาหารเกาหลี,4.8,1263,฿200-400,200,400,90 Fifty fifth Thonglor Building ถ. ทองหล่อ แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย,1290,วันอังคาร 11:00 to 21:30 · วันพุธ 11:00 to 21:30 · วันพฤหัสบดี 11:00 to 21:30 · วันศุกร์ 11:00 to 21:30 · วันเสาร์ 11:00 to 21:30 · วันอาทิตย์ 11:00 to 20:00 · วันจันทร์ 11:00 to 21:30,http://www.facebook.com/kianikorea,True,https://www.google.com/maps/search/?api=1&query=%ED%82%A4%EC%95%84%EB%8B%88%20%ED%95%9C%EC%8B%9D%EB%8B%B9%20%ED%86%B5%EB%A1%9C%20%EB%B3%B8%EC%A0%90%20Kiani%20Korean%20Restaurant%20Thonglor%20%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%81%E0%B8%B2%E0%B8%AB%E0%B8%A5%E0%B8%B5%20%E9%9F%A9%E5%9B%BD%E9%A4%90%E5%8E%85%20Thonglor&query_place_id=ChIJx6JXUqmf4jAR6tmg4xV65_A
North Restaurant,พร้อมพงษ์,ร้านอาหาร,4.7,1259,"฿2,000+",2000,,8 ซ. สุขุมวิท 33 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย,410,"วันอังคาร 11:30 to 14:30, 18:00 to 22:00 · วันพุธ 11:30 to 14:30, 18:00 to 22:00 · วันพฤหัสบดี 11:30 to 14:30, 18:00 to 22:00 · วันศุกร์ 11:30 to 14:30, 18:00 to 22:00 · วันเสาร์ 11:30 to 14:30, 18:00 to 22:00 · วันอาทิตย์ 11:30 to 14:30, 18:00 to 22:00 · วันจันทร์ 11:30 to 14:30, 18:00 to 22:00",http://www.north-restaurant.com/,False,https://www.google.com/maps/search/?api=1&query=North%20Restaurant&query_place_id=ChIJcRgyCeyf4jARKQO8CpoIlJ8
Kenny's BKK - Ari,อารีย์,ร้านอาหาร,4.7,1240,฿400-600,400,600,"12, 5 ถ. พหลโยธิน Phayathai, เขตพญาไท กรุงเทพมหานคร 10400 ไทย",317,วันอังคาร 10:00 to 1:00 · วันพุธ 10:00 to 1:00 · วันพฤหัสบดี 10:00 to 1:00 · วันศุกร์ 10:00 to 1:00 · วันเสาร์ 10:00 to 1:00 · วันอาทิตย์ 10:00 to 1:00 · วันจันทร์ 10:00 to 1:00,http://kennysbkk.com/,False,https://www.google.com/maps/search/?api=1&query=Kenny's%20BKK%20-%20Ari&query_place_id=ChIJNaJEbf-d4jARFkiVhqDL0zY
Hachicken Ramen (Terminal21 Asok),อโศก,ร้านอาหารราเมน,4.7,1202,฿1-200,1,200,"Unit 4022A, 4th floor, 88 ซอย สุขุมวิท 19 แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย",116,วันอังคาร 10:00 to 22:00 · วันพุธ 10:00 to 22:00 · วันพฤหัสบดี 10:00 to 22:00 · วันศุกร์ 10:00 to 22:00 · วันเสาร์ 10:00 to 22:00 · วันอาทิตย์ 10:00 to 22:00 · วันจันทร์ 10:00 to 22:00,https://www.facebook.com/hachickenramenthai,True,https://www.google.com/maps/search/?api=1&query=Hachicken%20Ramen%20(Terminal21%20Asok)&query_place_id=ChIJZVy5gm6f4jARZNIAsJKyW30
Opera Italian Restaurant,พร้อมพงษ์,ร้านอาหาร,4.4,1166,"฿2,000+",2000,,1-2 ซ. สุขุมวิท 39 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย,731,วันอังคาร 17:00 to 23:30 · วันพุธ 17:00 to 23:30 · วันพฤหัสบดี 17:00 to 23:30 · วันศุกร์ 17:00 to 23:30 · วันเสาร์ 12:00 to 22:30 · วันอาทิตย์ 12:00 to 22:30 · วันจันทร์ 17:00 to 23:30,http://operaitalianbangkok.com/,False,https://www.google.com/maps/search/?api=1&query=Opera%20Italian%20Restaurant&query_place_id=ChIJT9JMkPef4jARFU8TOnApCFQ
อรรถรส,พร้อมพงษ์,ภัตตาคารอาหารไทย,4.4,1158,"฿400-1,200",400,1200,59/3 ซ. สุขุมวิท 39 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย,812,วันอังคาร 11:00 to 22:00 · วันพุธ 11:00 to 22:00 · วันพฤหัสบดี 11:00 to 22:00 · วันศุกร์ 11:00 to 22:00 · วันเสาร์ 11:00 to 22:00 · วันอาทิตย์ 11:00 to 22:00 · วันจันทร์ 11:00 to 22:00,https://www.facebook.com/attarote.thaicuisine,False,https://www.google.com/maps/search/?api=1&query=%E0%B8%AD%E0%B8%A3%E0%B8%A3%E0%B8%96%E0%B8%A3%E0%B8%AA&query_place_id=ChIJ6b0f3_6e4jAR2YzyQaSGBqA
Klom Klorm,สยาม,ภัตตาคารอาหารไทย,4.6,1139,$$,,,"181 Wyckoff Ave, Brooklyn, NY 11237",13933648,วันอังคาร 11:30 to 22:00 · วันพุธ 11:30 to 22:00 · วันพฤหัสบดี 11:30 to 22:00 · วันศุกร์ 11:30 to 22:00 · วันเสาร์ 11:30 to 22:00 · วันอาทิตย์ 11:30 to 22:00 · วันจันทร์ 11:30 to 22:00,https://www.klomklormnyc.com/,False,https://www.google.com/maps/search/?api=1&query=Klom%20Klorm&query_place_id=ChIJkxXiQW1dwokRdhEubx2uxpQ
โรซาโน อิตาเลียน คูซีน,อโศก,ร้านอาหารอิตาเลียน,4.5,1137,"฿1,000+",1000,,"167 Sukhumvit Soi 21, ถนน อโศกมนตรี แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย",438,"วันอังคาร 11:30 to 14:00, 17:00 to 23:00 · วันพุธ 11:30 to 14:00, 17:00 to 23:00 · วันพฤหัสบดี 11:30 to 14:00, 17:00 to 23:00 · วันศุกร์ 11:30 to 14:00, 17:00 to 23:00 · วันเสาร์ 11:30 to 14:00, 17:00 to 23:00 · วันอาทิตย์ 11:30 to 14:00, 17:00 to 23:00 · วันจันทร์ 11:30 to 14:00, 17:00 to 23:00",http://rossanosbangkok.com/,False,https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%8B%E0%B8%B2%E0%B9%82%E0%B8%99%20%E0%B8%AD%E0%B8%B4%E0%B8%95%E0%B8%B2%E0%B9%80%E0%B8%A5%E0%B8%B5%E0%B8%A2%E0%B8%99%20%E0%B8%84%E0%B8%B9%E0%B8%8B%E0%B8%B5%E0%B8%99&query_place_id=ChIJge5RZOOe4jARzWYZ3jGvKbA
Clay Bangkok,อารีย์,ร้านอาหาร,4.8,1085,"฿400-1,200",400,1200,31 ซอย พหลโยธิน 2 แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400 ไทย,313,วันอังคาร 11:00 to 22:00 · วันพุธ 11:00 to 22:00 · วันพฤหัสบดี 11:00 to 22:00 · วันศุกร์ 11:00 to 22:00 · วันเสาร์ 11:00 to 22:00 · วันอาทิตย์ 11:00 to 22:00 · วันจันทร์ 11:00 to 22:00,https://www.facebook.com/claybkk/,False,https://www.google.com/maps/search/?api=1&query=Clay%20Bangkok&query_place_id=ChIJa9_br1Wf4jAR0DuDTa7yUzo
Royal Kitchen,พร้อมพงษ์,ภัตตาคารอาหารจีน,4.8,1062,,,,27 โรงแรมนิกโก้ ชั้น 3 ถ. ทองหล่อ แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย,1149,"วันอังคาร 11:00 to 14:30, 17:00 to 22:00 · วันพุธ 11:00 to 14:30, 17:00 to 22:00 · วันพฤหัสบดี 11:00 to 14:30, 17:00 to 22:00 · วันศุกร์ 11:00 to 14:30, 17:00 to 22:00 · วันเสาร์ 11:00 to 14:30, 17:00 to 22:00 · วันอาทิตย์ 11:00 to 14:30, 17:00 to 22:00 · วันจันทร์ 11:00 to 14:30, 17:00 to 22:00",https://royalkitchengroup.com/,False,https://www.google.com/maps/search/?api=1&query=Royal%20Kitchen&query_place_id=ChIJ9W5fd-Se4jARHKgJLKe3x3c
คัตสึยะ ชั้น 4,สยาม,ภัตตาคารอาหารทงคัทสึ,4.9,1059,฿200-400,200,400,ไทย กรุงเทพมหานคร ถ. พระรามที่ 1 Unit #MS 1042,87,วันอังคาร 10:00 to 22:00 · วันพุธ 10:00 to 22:00 · วันพฤหัสบดี 10:00 to 22:00 · วันศุกร์ 10:00 to 22:00 · วันเสาร์ 10:00 to 22:00 · วันอาทิตย์ 10:00 to 22:00 · วันจันทร์ 10:00 to 22:00,https://www.facebook.com/KatsuyaThailand,False,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B1%E0%B8%95%E0%B8%AA%E0%B8%B6%E0%B8%A2%E0%B8%B0%20%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99%204&query_place_id=ChIJ2UNxXSKf4jARtP2IftNYDrU
